sla_code06, estimate
"205353271",28.0
"205353274",24.1
"205353275",38.7
"205405713",47.1
"205405715",53.3
"205405718",49.6
"205407071",24.7
"205407075",18.4
"205407076",19.3
"205607454",48.9
"205607456",50.0
"205650911",58.0
"205650912",38.9
"205054601",52.5
"205905344",43.1
"205054605",56.8
"205054608",41.3
"205607453",39.9
"240101375",38.6
"205852171",35.1
"205852174",44.1
"205905341",45.5
"215106261",33.7
"215106264",39.5
"215106265",40.4
"225055814",32.8
"205055901",55.4
"205905345",51.5
"210052751",40.7
"210052752",38.7
"205055902",53.0
"210106493",47.0
"210106495",50.1
"205301892",27.4
"225056890",27.8
"255053814",34.8
"205056351",49.2
"205057351",51.1
"205057352",41.9
"205101181",28.1
"205101182",20.0
"205103111",33.6
"205103112",48.6
"205104330",40.3
"205105063",38.9
"205105065",27.6
"225102980",27.2
"225107631",null
"225107632",25.1
"230054781",36.8
"230101271",31.7
"230101272",27.3
"230104782",45.6
"230152250",37.9
"240052831",28.4
"255053815",40.3
"205204651",25.6
"205204654",32.5
"205207261",22.3
"205207264",53.5
"205207267",27.7
"210106080",52.1
"205255251",47.1
"205255252",29.0
"205255253",17.9
"205300661",38.5
"205300662",48.4
"205301891",47.6
"205451111",38.1
"205451112",49.5
"205451113",39.1
"205451114",49.2
"205504211",31.9
"205504214",32.0
"205504971",19.4
"205504974",38.6
"235105431",47.8
"235105434",35.3
"235204131",33.5
"235204134",33.2
"235204135",38.7
"205504975",24.5
"205506981",29.8
"205506984",26.3
"205506985",38.2
"205553672",33.8
"205553673",37.3
"205553674",21.9
"205554411",40.5
"205554412",35.0
"205607451",46.5
"205607452",41.1
"205652311",37.9
"240101371",33.1
"240101374",36.3
"205652314",38.9
"205653431",35.3
"205653434",38.7
"205656352",42.9
"205752671",32.0
"205752674",26.7
"205801452",33.4
"205801453",32.4
"205801454",34.5
"205801612",36.8
"240101376",16.9
"240102834",null
"240102835",32.5
"240104901",41.5
"240104904",33.9
"240151011",29.5
"240151014",36.3
"240154250",44.7
"240156430",39.8
"240204851",27.4
"240204854",34.0
"240205621",42.6
"240205622",48.2
"245053351",38.0
"245056671",24.7
"245057170",40.8
"245103352",43.3
"245106701",30.6
"245106704",50.1
"245106705",34.5
"245150111",44.9
"245150112",41.7
"205801613",23.9
"245156672",35.5
"205801616",25.6
"205801618",21.1
"210052753",54.0
"210052754",47.2
"210052755",42.2
"210052756",43.4
"210102757",32.6
"210151751",51.6
"210151754",44.2
"210151755",43.4
"210152491",44.8
"210152492",38.5
"210152758",null
"215016730",38.7
"215051831",33.4
"215051832",29.0
"215055491",24.5
"215055493",30.6
"215055496",35.2
"255053818",null
"255100834",33.2
"255100835",37.4
"255107458",null
"255200741",38.6
"255200744",32.0
"255206171",36.3
"255206174",46.0
"255206175",45.7
"215102411",37.1
"215102412",30.6
"215102413",41.8
"220050571",43.3
"220050572",40.3
"220050573",null
"220050574",35.3
"220102911",37.1
"220102912",32.0
"220105151",32.9
"220105154",33.5
"220105155",55.0
"220150260",33.3
"220155991",48.5
"220155994",28.6
"225053191",37.9
"225053194",41.1
"225055811",43.4
"230156611",35.1
"230156614",29.3
"230156616",18.2
"235052621",29.1
"235052622",41.9
"235052623",41.8
"235052624",33.1
"235052625",33.0
"235052626",46.1
"235101671",30.5
"235101674",35.1
"235102628",28.3
"235103943",29.8
"235103945",40.6
"250052111",38.1
"250052113",36.4
"250052115",29.2
"250052117",null
"250156811",43.7
"250156812",37.2
"250156813",34.7
"250156814",49.1
"250156815",31.0
"255050831",14.3
"255053811",38.6
